"Species","Limb_width","Limb_length","Observer"
"Species3",1.75553858235286,11.4179088809313,"Observer3"
"Species3",1.68602417108833,11.4723895491067,"Observer3"
"Species2",1.97654163678585,12.7315531073243,"Observer3"
"Species2",2.08130905766095,8.84747221448692,"Observer1"
"Species3",2.6461529574866,8.39053536072788,"Observer2"
"Species5",1.76822174924001,8.92986837692357,"Observer2"
"Species4",2.15273161374086,11.5830958188478,"Observer3"
"Species1",1.95800564337984,8.58478569827576,"Observer3"
"Species2",2.205181724581,7.44891325602308,"Observer3"
"Species3",2.09183912026454,14.7509289224663,"Observer3"
"Species5",2.88937080917189,7.81282050337574,"Observer2"
"Species3",2.01884142369869,10.3848831644481,"Observer1"
"Species3",2.5881100622003,9.74767923724062,"Observer3"
"Species1",1.72073209483659,7.22313572025122,"Observer2"
"Species4",1.5271910300372,10.9398043832413,"Observer1"
"Species1",1.66740568026066,11.9207647144018,"Observer3"
"Species1",2.22601509580188,9.98971742323393,"Observer3"
"Species5",2.26342783459448,8.25907111647091,"Observer3"
"Species3",1.88486888225787,9.07424191946119,"Observer2"
"Species2",2.69871332658232,6.17769748983781,"Observer1"
"Species2",2.88182651569268,10.7396320874271,"Observer2"
"Species1",2.2428006770953,9.07542388543726,"Observer3"
"Species3",1.86713052805141,10.6439117836333,"Observer1"
"Species4",2.07580568535721,9.43199722014179,"Observer2"
"Species1",2.68830490650724,12.1837128869137,"Observer1"
"Species3",1.90980284286971,10.3204327254915,"Observer2"
"Species5",1.21616243376123,15.4163365688107,"Observer2"
"Species4",1.86963705364569,10.5725798588283,"Observer3"
"Species2",2.48090517586179,9.93497949833983,"Observer2"
"Species5",2.42694773215506,8.02064396178708,"Observer2"
"Species1",2.20939835103609,10.423619856177,"Observer2"
"Species1",2.16997825650707,8.05596493253715,"Observer2"
"Species2",2.29821252950764,11.0984480279154,"Observer2"
"Species3",2.93570900260553,7.90195693997663,"Observer3"
"Species4",2.30143518484689,10.8982678695208,"Observer1"
"Species5",1.61691559805952,9.22828869491466,"Observer1"
"Species5",1.68983675646127,6.85972895403635,"Observer3"
"Species3",2.39509512529799,12.453885202132,"Observer3"
"Species1",1.8790117450882,11.3333887911138,"Observer3"
"Species2",2.55874324061367,7.69679367391031,"Observer3"
"Species5",2.59246531749866,9.67842303362124,"Observer2"
"Species5",2.82323741882368,8.05417244822833,"Observer1"
"Species4",2.09649809292642,8.77907668134474,"Observer1"
"Species5",1.80372322294917,10.9985537512397,"Observer3"
"Species2",2.00352566166774,11.7587282783716,"Observer2"
"Species1",0.752582277830804,11.8462584787309,"Observer2"
"Species1",1.51135181892174,11.386267943822,"Observer3"
"Species3",2.31428441140327,9.72099935087648,"Observer1"
"Species1",1.95792976351048,3.3786425468748,"Observer3"
"Species5",2.19106580392442,11.0769315982257,"Observer3"
"Species1",1.45329310054493,11.784971733009,"Observer1"
"Species2",1.62226801969624,10.9789240724268,"Observer1"
"Species4",1.86800354060926,7.60729650686941,"Observer3"
"Species4",1.62376865139078,10.9254757064953,"Observer3"
"Species3",2.2203460452641,11.9434071526525,"Observer2"
"Species1",1.3612746169332,7.05568207107066,"Observer2"
"Species2",2.58859602277837,11.0579298817989,"Observer3"
"Species1",2.45125291709044,14.9088007052256,"Observer2"
"Species2",1.36934791163314,6.70130904081682,"Observer3"
"Species4",2.41872757284658,11.5916103100272,"Observer3"
"Species5",0.825854846198962,9.31741366602482,"Observer2"
"Species5",2.30548556840855,7.18949240056712,"Observer3"
"Species3",1.97606612885572,8.15407836985674,"Observer3"
"Species1",0.800401145838733,10.0197962591177,"Observer1"
"Species4",1.9903405219059,9.18228045260182,"Observer3"
"Species1",1.95565727388717,7.22350942240051,"Observer1"
"Species1",1.20225755095049,9.47080952304107,"Observer2"
"Species3",2.42585466053451,8.10540344203334,"Observer1"
"Species4",1.64321959706258,11.4790426559232,"Observer3"
"Species1",2.5332151721896,11.7935574171344,"Observer3"
"Species3",1.73187870477437,9.30799822577832,"Observer2"
"Species5",2.26795852821826,6.43588586306285,"Observer2"
"Species3",1.08568668306196,10.9298835061516,"Observer1"
"Species2",1.09323332206895,6.09793878050573,"Observer2"
"Species5",2.6863068534293,8.96777331907391,"Observer3"
"Species5",1.71786522964076,10.9781606350599,"Observer3"
"Species3",2.48515561327574,11.8040494524352,"Observer3"
"Species2",1.99068300789965,11.2807259896956,"Observer2"
"Species2",2.18118517480003,11.9024177578921,"Observer1"
"Species2",3.00565279306705,8.80175358013283,"Observer2"
"Species4",1.41101625064144,7.33861001437649,"Observer3"
"Species2",1.62241475890238,8.81558050825802,"Observer2"
"Species2",1.83435775770734,13.6021017118179,"Observer3"
"Species4",1.85814865177497,12.1106771820873,"Observer3"
"Species4",2.15707645003584,9.41615848616531,"Observer1"
"Species1",2.92241933551965,8.35178124760977,"Observer2"
"Species3",1.50904142529392,12.4325004770419,"Observer2"
"Species3",3.09800188169504,10.4394568090193,"Observer2"
"Species1",1.89766616746799,10.1499990538825,"Observer2"
"Species3",2.48757146821703,5.71916303230017,"Observer2"
"Species5",1.5662169418763,12.9419444730329,"Observer1"
"Species2",1.74940620411937,8.32446478761543,"Observer1"
"Species3",2.39279558143515,10.7910197357027,"Observer3"
"Species2",0.948876338249219,11.7728433533161,"Observer1"
"Species5",1.9788975351423,12.4020851035572,"Observer3"
"Species5",1.79759529328876,12.6336113625869,"Observer3"
"Species3",1.94361701676606,9.61391916366841,"Observer2"
"Species4",2.89857022033271,11.101152498639,"Observer3"
"Species4",1.59483687103995,5.82245411244824,"Observer2"
"Species4",2.9504500368756,9.95018041294634,"Observer1"
